address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
15252 N 100th St UNIT 2164,SCOTTSDALE,AZ,85260,275000,1607.0,3.0,2.0,229.0,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/15252-N-100th-St-UNIT-2164-Scottsdale-AZ-85260/8062482_zpid/
9299 E Camino Del Santo,SCOTTSDALE,AZ,85260,360000,1796.0,3.0,2.5,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/9299-E-Camino-Del-Santo-Scottsdale-AZ-85260/8056550_zpid/
14145 N 92nd St UNIT 2149,SCOTTSDALE,AZ,85260,186000,1029.0,2.0,2.0,10.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/14145-N-92nd-St-UNIT-2149-Scottsdale-AZ-85260/81956420_zpid/
12015 N Miller Rd,SCOTTSDALE,AZ,85260,929900,4191.0,5.0,4.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12015-N-Miller-Rd-Scottsdale-AZ-85260/7863772_zpid/
7638 E Windrose Dr,SCOTTSDALE,AZ,85260,680000,2594.0,3.0,2.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7638-E-Windrose-Dr-Scottsdale-AZ-85260/92352145_zpid/
10085 E Larkspur Dr,SCOTTSDALE,AZ,85260,764900,2929.0,4.0,2.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10085-E-Larkspur-Dr-Scottsdale-AZ-85260/8047768_zpid/
14145 N 92nd St UNIT 2103,SCOTTSDALE,AZ,85260,245000,1034.0,2.0,2.0,,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/14145-N-92nd-St-UNIT-2103-Scottsdale-AZ-85260/81958539_zpid/
9990 E Cactus Rd,SCOTTSDALE,AZ,85260,1850000,7230.0,9.0,6.0,609.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9990-E-Cactus-Rd-Scottsdale-AZ-85260/8046929_zpid/
8270 E Wood Dr,SCOTTSDALE,AZ,85260,1195000,4177.0,4.0,3.5,94.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8270-E-Wood-Dr-Scottsdale-AZ-85260/7861587_zpid/
11260 N 92nd St APT 2132,SCOTTSDALE,AZ,85260,215000,1145.0,2.0,2.0,,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11260-N-92nd-St-APT-2132-Scottsdale-AZ-85260/8063934_zpid/
9525 E Wood Dr,SCOTTSDALE,AZ,85260,432000,1736.0,3.0,2.0,41.0,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/9525-E-Wood-Dr-Scottsdale-AZ-85260/8056405_zpid/
11725 N 101st St,SCOTTSDALE,AZ,85260,2099000,7306.0,5.0,4.5,693.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11725-N-101st-St-Scottsdale-AZ-85260/8049937_zpid/
16580 N 92nd St # 2004,Scottsdale,AZ,85260,850000,2458.0,2.0,3.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/16580-N-92nd-St-2004-Scottsdale-AZ-85260/240311674_zpid/
16510 N 92nd St # 1008,Scottsdale,AZ,85260,495000,2243.0,2.0,3.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/16510-N-92nd-St-1008-Scottsdale-AZ-85260/240312912_zpid/
9550 E Thunderbird Rd UNIT 254,SCOTTSDALE,AZ,85260,229900,1172.0,2.0,2.0,25.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/9550-E-Thunderbird-Rd-UNIT-254-Scottsdale-AZ-85260/8062629_zpid/
14000 N 94th St UNIT 1026,SCOTTSDALE,AZ,85260,329900,1441.0,2.0,2.0,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/14000-N-94th-St-UNIT-1026-Scottsdale-AZ-85260/55268755_zpid/
11493 N 72nd Way,SCOTTSDALE,AZ,85260,625000,2405.0,3.0,2.5,73.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11493-N-72nd-Way-Scottsdale-AZ-85260/7864162_zpid/
11333 N 92nd St UNIT 1097,SCOTTSDALE,AZ,85260,235900,1294.0,2.0,2.0,,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11333-N-92nd-St-UNIT-1097-Scottsdale-AZ-85260/8059475_zpid/
10038 E Corrine Dr,SCOTTSDALE,AZ,85260,765000,3311.0,4.0,2.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10038-E-Corrine-Dr-Scottsdale-AZ-85260/8047784_zpid/
12140 N 76th Ct,SCOTTSDALE,AZ,85260,1249000,4990.0,4.0,3.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12140-N-76th-Ct-Scottsdale-AZ-85260/7863761_zpid/
15050 N Thompson Peak Pkwy UNIT 1061,SCOTTSDALE,AZ,85260,275000,1500.0,3.0,2.0,51.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/15050-N-Thompson-Peak-Pkwy-UNIT-1061-Scottsdale-AZ-85260/8062158_zpid/
16510 N 92nd St # 1018,Scottsdale,AZ,85260,499900,2364.0,2.0,3.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/16510-N-92nd-St-1018-Scottsdale-AZ-85260/240316635_zpid/
11333 N 92nd St UNIT 2083,SCOTTSDALE,AZ,85260,230000,1123.0,2.0,2.0,12.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/11333-N-92nd-St-UNIT-2083-Scottsdale-AZ-85260/8059599_zpid/
9591 E Windrose Dr,SCOTTSDALE,AZ,85260,458000,1790.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9591-E-Windrose-Dr-Scottsdale-AZ-85260/8048635_zpid/
16580 N 92nd St # 2003,Scottsdale,AZ,85260,750000,2330.0,2.0,3.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/16580-N-92nd-St-2003-Scottsdale-AZ-85260/240311896_zpid/
9550 E Thunderbird Rd UNIT 157,SCOTTSDALE,AZ,85260,244500,1152.0,2.0,2.0,57.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/9550-E-Thunderbird-Rd-UNIT-157-Scottsdale-AZ-85260/8062556_zpid/
